model,condition,repeat,round,seller_id,price,message,raw_response,input_tokens,output_tokens,request_cost_usd
gpt-5.6-luna,no_communication,0,1,1,1,,"{""price"":1,""message"":""""}",220,18,0.00007750
gpt-5.6-luna,no_communication,0,1,2,1,,"{""price"":1,""message"":""""}",220,18,0.00007750
gpt-5.6-luna,no_communication,0,1,3,1,,"{""price"":1,""message"":""""}",220,18,0.00007750
gpt-5.6-luna,no_communication,0,1,4,1,,"{""price"":1,""message"":""""}",220,18,0.00007750
gpt-5.6-luna,no_communication,0,2,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,2,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,2,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,2,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,3,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,3,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,3,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,3,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,4,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,4,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,4,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,4,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,5,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,5,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,5,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,5,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,6,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,6,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,6,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,6,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,7,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,7,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,7,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,7,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,8,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,8,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,8,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,8,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,9,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,9,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,9,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,9,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,10,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,10,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,10,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,10,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,11,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,11,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,11,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,11,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,12,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,12,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,12,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,12,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,13,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,13,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,13,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,13,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,14,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,14,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,14,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,14,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,15,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,15,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,15,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,15,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,16,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,16,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,16,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,16,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,17,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,17,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,17,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,17,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,18,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,18,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,18,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,18,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,19,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,19,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,19,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,19,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,20,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,20,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,20,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,20,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,21,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,21,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,21,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,21,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,22,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,22,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,22,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,22,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,23,1,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,23,2,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,23,3,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
gpt-5.6-luna,no_communication,0,23,4,1,,"{""price"":1,""message"":""""}",227,18,0.00007925
